pathway_relation_id,gene_symbol,pathway_name,pathway_category,relation_type,biological_meaning,database_source,source_url,remark,collection_method,curation_type,evidence_scope
P012,PTEN,PI3K-AKT通路,细胞存活通路,负调控,PTEN负调控PI3K-AKT信号并影响细胞生长和存活,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/5728,通路调控基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P013,SOX2,干性相关程序,细胞命运程序,参与,SOX2与细胞干性维持和细胞命运决定相关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/6657,分化状态相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P014,DLL3,Notch信号通路,cell differentiation 通路,相关,DLL3是Notch配体相关基因，与神经内分泌型SCLC和治疗靶点研究相关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/10683,治疗靶点候选,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P015,BCL2,细胞凋亡 通路,细胞死亡通路,抗凋亡因子,BCL2参与抗凋亡调控并影响肿瘤细胞存活,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/596,治疗相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P016,MCL1,细胞凋亡 通路,细胞死亡通路,抗凋亡因子,MCL1属于抗凋亡BCL2家族成员，参与细胞存活调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4170,治疗相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P017,EZH2,表观遗传调控,染色质调控通路,参与,EZH2参与PRC2相关染色质修饰和转录抑制,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/2146,表观遗传调控基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P018,AURKA,有丝分裂 and cell cycle,细胞周期通路,参与,AURKA参与有丝分裂、中心体成熟和纺锤体组装,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/6790,增殖相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P019,SLFN11,DNA损伤应答,DNA修复与应激反应,参与,SLFN11与复制压力和DNA损伤应答相关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/91607,治疗反应相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P020,PARP1,DNA修复通路,DNA修复与应激反应,参与,PARP1参与DNA损伤修复并与PARP抑制剂相关研究有关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/142,治疗相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P021,MKI67,细胞增殖,增殖标志物,标志物,MKI67是细胞增殖相关标志物,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/4288,增殖标志物,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P022,TOP2A,DNA复制 and cell proliferation,增殖通路,参与,TOP2A参与DNA拓扑结构调控和细胞增殖,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/7153,增殖相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P023,CDK6,细胞周期通路,细胞周期通路,参与,CDK6参与G1/S细胞周期转换调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/1021,细胞周期相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P024,CCNE1,细胞周期通路,细胞周期通路,参与,CCNE1参与G1/S转换和细胞周期调控,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/898,细胞周期相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P025,CD274,免疫检查点 通路,免疫应答通路,参与,CD274编码PD-L1，与免疫检查点和肿瘤免疫微环境有关,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/29126,SCLC-I相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
P026,HLA-DRA,抗原呈递,免疫应答通路,参与,HLA-DRA参与抗原呈递和免疫应答,NCBI Gene；PubMed 文献整理；人工通路分类,https://www.ncbi.nlm.nih.gov/gene/3122,SCLC-I相关基因,基于基因功能和文献进行人工通路分类,基因-通路关系,功能通路分类
